,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
,Logistic Regression,0.85,0.4,0.05,96.63278272,95.99697885,100,62.19822109,2
,Logistic Regression,0.85,0.1,0.08,95.42566709,94.63886821,100,46.82337992,2
,Logistic Regression,0.85,0.15,0.08,95.9339263,95.20599251,100,52.16010165,2
,Logistic Regression,0.85,0.2,0.08,95.8703939,95.13473054,100,52.98602287,2
,Logistic Regression,0.85,0.25,0.08,96.37865311,95.70783133,100,57.56035578,2
,Logistic Regression,0.85,0.3,0.08,96.18805591,95.49211119,100,56.28970775,2
,Logistic Regression,0.85,0.4,0.08,97.07750953,96.50721336,100,65.75603558,2
,Logistic Regression,0.85,0.1,0.1,95.17153748,94.35783222,100,45.10800508,2
,Logistic Regression,0.85,0.15,0.1,95.8703939,95.13473054,100,53.30368488,2
,Logistic Regression,0.85,0.2,0.1,96.12452351,95.42042042,100,54.89199492,2
,Logistic Regression,0.85,0.25,0.1,96.37865311,95.70783133,100,57.43329098,2
,Logistic Regression,0.85,0.3,0.1,96.31512071,95.6358164,100,57.75095299,2
,Logistic Regression,0.85,0.4,0.1,96.88691233,96.28787879,100,63.85006353,2
,Logistic Regression,0.85,0.1,0.15,95.61626429,94.85074627,100,49.30114358,2
,Logistic Regression,0.85,0.15,0.15,96.37865311,95.70783133,100,55.08259212,2
,Logistic Regression,0.85,0.2,0.15,96.06099111,95.34883721,100,54.57433291,2
,Logistic Regression,0.85,0.25,0.15,96.50571792,95.85218703,100,58.70393901,2
,Logistic Regression,0.85,0.3,0.15,96.31512071,95.6358164,100,58.64040661,2
,Logistic Regression,0.85,0.4,0.15,97.14104193,96.58054711,100,66.5819568,2
,Logistic Regression,0.9,0.1,0.01,96.25158831,95.56390977,100,58.3227446,2
,Logistic Regression,0.9,0.15,0.01,96.50571792,95.85218703,100,61.75349428,2
,Logistic Regression,0.9,0.2,0.01,96.50571792,95.85218703,100,62.7064803,2
,Logistic Regression,0.9,0.25,0.01,96.69631512,96.06953893,100,64.86658196,2
,Logistic Regression,0.9,0.3,0.01,96.69631512,96.06953893,100,65.05717916,2
,Logistic Regression,0.9,0.4,0.01,97.20457433,96.6539924,100,71.47395172,2
,Logistic Regression,0.9,0.1,0.03,96.56925032,95.9245283,100,60.60991105,2
,Logistic Regression,0.9,0.15,0.03,96.88691233,96.28787879,100,65.75603558,2
,Logistic Regression,0.9,0.2,0.03,96.75984752,96.14220877,100,65.50190597,2
,Logistic Regression,0.9,0.25,0.03,96.95044473,96.36087945,100,67.15374841,2
,Logistic Regression,0.9,0.3,0.03,96.82337992,96.21498864,100,68.04320203,2
,Logistic Regression,0.9,0.4,0.03,97.45870394,96.94889397,100,74.71410419,2
,Logistic Regression,0.9,0.1,0.05,96.69631512,96.06953893,100,62.5794155,2
,Logistic Regression,0.9,0.15,0.05,96.95044473,96.36087945,100,67.85260483,2
,Logistic Regression,0.9,0.2,0.05,96.95044473,96.36087945,100,67.72554003,2
,Logistic Regression,0.9,0.25,0.05,97.26810673,96.72754947,100,71.21982211,2
,Logistic Regression,0.9,0.3,0.05,97.07750953,96.50721336,100,69.25031766,2
,Logistic Regression,0.9,0.4,0.05,97.45870394,96.94889397,100,74.20584498,2
,Logistic Regression,0.9,0.1,0.08,96.82337992,96.21498864,100,64.80304956,2
,Logistic Regression,0.9,0.15,0.08,97.14104193,96.58054711,100,69.18678526,2
,Logistic Regression,0.9,0.2,0.08,97.01397713,96.4339909,100,68.17026684,2
,Logistic Regression,0.9,0.25,0.08,96.75984752,96.14220877,100,67.40787802,2
,Logistic Regression,0.9,0.3,0.08,97.14104193,96.58054711,100,70.6480305,2
,Logistic Regression,0.9,0.4,0.08,97.58576874,97.09702063,100,75.98475222,2
,Logistic Regression,0.9,0.1,0.1,96.75984752,96.14220877,100,64.54891995,2
,Logistic Regression,0.9,0.15,0.1,97.33163914,96.80121858,100,71.21982211,2
,Logistic Regression,0.9,0.2,0.1,97.01397713,96.4339909,100,68.99618806,2
,Logistic Regression,0.9,0.25,0.1,97.45870394,96.94889397,100,73.18932656,2
,Logistic Regression,0.9,0.3,0.1,96.95044473,96.36087945,100,69.75857687,2
,Logistic Regression,0.9,0.4,0.1,97.52223634,97.02290076,100,74.77763659,2
,Logistic Regression,0.9,0.1,0.15,96.82337992,96.21498864,100,66.26429479,2
,Logistic Regression,0.9,0.15,0.15,97.07750953,96.50721336,100,71.41041931,2
,Logistic Regression,0.9,0.2,0.15,97.20457433,96.6539924,100,70.7750953,2
,Logistic Regression,0.9,0.25,0.15,97.64930114,97.17125382,100,74.9047014,2
