model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier,dt_label_99_60,dt_label_96_40
Logistic Regression,0.85,0.25,0.05,97.20642769,96.80534918,98.97455374,54.16563659,2,0,0
Logistic Regression,0.85,0.3,0.05,96.9592089,96.5504451,98.86061527,55.79728059,2,0,0
Logistic Regression,0.85,0.4,0.05,97.08281829,96.83426443,98.74667679,61.95302843,2,0,0
Logistic Regression,0.85,0.1,0.08,97.00865266,96.76098287,98.7086973,45.85908529,2,0,0
Logistic Regression,0.85,0.15,0.08,96.88504326,96.68528864,98.59475883,48.00988875,2,0,0
Logistic Regression,0.85,0.2,0.08,96.83559951,96.57865377,98.63273832,51.07540173,2,0,0
Logistic Regression,0.85,0.25,0.08,97.3053152,97.05443699,98.86061527,54.7342398,2,0,0
Logistic Regression,0.85,0.3,0.08,97.3053152,96.91449814,99.01253323,57.50309023,2,0,0
Logistic Regression,0.85,0.4,0.08,97.3053152,96.98436337,98.93657425,62.76885043,2,0,0
Logistic Regression,0.85,0.1,0.1,96.93448702,96.75736116,98.59475883,45.51297899,2,0,0
Logistic Regression,0.85,0.15,0.1,96.51421508,96.38868206,98.32890239,46.47713226,2,0,0
Logistic Regression,0.85,0.2,0.1,96.68726823,96.43255295,98.55677934,50.43263288,2,0,0
Logistic Regression,0.85,0.25,0.1,97.4289246,97.13007827,98.97455374,55.72311496,2,0,0
Logistic Regression,0.85,0.3,0.1,97.35475896,97.05663189,98.93657425,57.65142151,2,0,0
Logistic Regression,0.85,0.4,0.1,97.33003708,97.05553485,98.89859476,63.11495674,2,0,0
Logistic Regression,0.85,0.1,0.15,96.90976514,96.65178571,98.67071781,45.36464771,2,0,0
Logistic Regression,0.85,0.15,0.15,96.93448702,96.72253259,98.63273832,48.1829419,2,0,0
Logistic Regression,0.85,0.2,0.15,96.88504326,96.68528864,98.59475883,51.49567367,2,0,0
Logistic Regression,0.85,0.25,0.15,97.10754017,96.83544304,98.78465629,54.78368356,2,0,0
Logistic Regression,0.85,0.3,0.15,97.45364648,97.16629381,98.97455374,58.14585909,2,0,0
Logistic Regression,0.85,0.4,0.15,97.33003708,97.09063782,98.86061527,64.02966625,2,0,0
Logistic Regression,0.9,0.1,0.01,97.45364648,97.4137931,98.7086973,50.67985167,2,0,0
Logistic Regression,0.9,0.15,0.01,97.50309023,97.30941704,98.89859476,53.52286774,2,0,0
Logistic Regression,0.9,0.2,0.01,97.60197775,97.45508982,98.89859476,56.21755253,2,0,0
Logistic Regression,0.9,0.25,0.01,97.84919654,97.64221557,99.08849221,60.24721879,2,0,0
Logistic Regression,0.9,0.3,0.01,97.75030902,97.46079164,99.12647171,61.58220025,2,0,0
Logistic Regression,0.9,0.4,0.01,97.99752781,97.75449102,99.20243069,67.29295426,2,0,0
Logistic Regression,0.9,0.1,0.03,97.67614339,97.56463095,98.89859476,53.62175525,2,0,0
Logistic Regression,0.9,0.15,0.03,97.70086527,97.56554307,98.93657425,55.47589617,2,0,0
Logistic Regression,0.9,0.2,0.03,97.72558714,97.56645451,98.97455374,57.4289246,2,0,0
Logistic Regression,0.9,0.25,0.03,97.87391842,97.64309764,99.12647171,60.9394314,2,0,0
Logistic Regression,0.9,0.3,0.03,97.94808405,97.75280899,99.12647171,63.28800989,2,0,0
Logistic Regression,0.9,0.4,0.03,98.14585909,97.93853073,99.24041018,68.47960445,2,0,0
Logistic Regression,0.9,0.1,0.05,97.79975278,97.74774775,98.89859476,54.78368356,2,0,0
Logistic Regression,0.9,0.15,0.05,97.84919654,97.71364318,99.01253323,56.90976514,2,0,0
Logistic Regression,0.9,0.2,0.05,97.67614339,97.49345305,98.97455374,57.79975278,2,0,0
Logistic Regression,0.9,0.25,0.05,97.97280593,97.82527184,99.08849221,61.95302843,2,0,0
Logistic Regression,0.9,0.3,0.05,98.04697157,97.79191617,99.24041018,64.35105068,2,0,0
Logistic Regression,0.9,0.4,0.05,98.2447466,98.04951238,99.27838967,69.39431397,2,0,0
Logistic Regression,0.9,0.1,0.08,97.84919654,97.78528529,98.93657425,55.2039555,2,0,0
Logistic Regression,0.9,0.15,0.08,97.75030902,97.60299625,98.97455374,56.04449938,2,0,0
Logistic Regression,0.9,0.2,0.08,97.75030902,97.60299625,98.97455374,58.5908529,2,0,0
Logistic Regression,0.9,0.25,0.08,98.17058096,97.97525309,99.24041018,63.48578492,2,0,0
Logistic Regression,0.9,0.3,0.08,98.02224969,97.79108948,99.20243069,63.88133498,2,0,0
Logistic Regression,0.9,0.4,0.08,98.31891224,98.12382739,99.31636916,71.47095179,2,0,0
Logistic Regression,0.9,0.1,0.1,97.7750309,97.74690199,98.86061527,54.23980222,2,0,0
Logistic Regression,0.9,0.15,0.1,97.87391842,97.75028121,99.01253323,57.3053152,2,0,0
Logistic Regression,0.9,0.2,0.1,97.92336218,97.75196703,99.08849221,59.92583436,2,0,0
Logistic Regression,0.9,0.25,0.1,98.09641533,97.93698425,99.1644512,63.26328801,2,0,0
Logistic Regression,0.9,0.3,0.1,98.12113721,97.90183589,99.24041018,65.04326329,2,0,0
Logistic Regression,0.9,0.4,0.1,98.29419036,98.12312312,99.27838967,70.43263288,2,0,0
Logistic Regression,0.9,0.1,0.15,97.94808405,97.89631856,98.97455374,56.04449938,2,0,0
